Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
5/24/2022,423.9,427.5,416,421.45,424.7,425.75,422.16,536.7,268.45,14525617,6132172171.45
5/25/2022,428.45,429,413.45,425.75,417.25,417,419.77,536.7,268.45,13540006,5683678652.65
5/26/2022,422,422.65,405,417,421.5,420.65,413.94,536.7,268.45,17712299,7331801883.95
5/27/2022,426.05,433.25,425.2,420.65,430.2,429.6,429.01,536.7,268.45,16867431,7236292574.05
5/30/2022,437,445.2,436,429.6,442.4,442.4,441.5,536.7,268.45,18500266,8167936123.90
5/31/2022,443.95,449.5,440.4,442.4,442.7,443.55,446.05,536.7,268.45,22308219,9950567444.20
6/1/2022,445.1,446,439.6,443.55,445,444.6,442.87,536.7,268.45,11930669,5283784191.85
6/2/2022,445,445.6,435.65,444.6,439.85,439.15,439.66,536.7,268.45,12742438,5602364931.70
6/3/2022,444.9,445.05,430.5,439.15,431.9,431.9,435.91,536.7,268.45,12780122,5571008545.50
6/6/2022,427.9,433.95,424.6,431.9,433.45,432.35,428.71,536.7,268.45,11896105,5100034442.30
6/7/2022,432.5,438.2,429.1,432.35,436.65,435.85,432.79,536.7,268.45,11153869,4827338078.00
6/8/2022,438.7,440.4,432,435.85,434.75,435.65,435.67,536.7,268.45,12844475,5595990194.70
6/9/2022,431.9,435.65,426.1,435.65,428.85,428.5,429.88,536.7,268.45,13043367,5607070731.80
6/10/2022,423,428.85,422,428.5,427.4,428.05,426.46,536.7,268.45,11914234,5080927101.20
6/13/2022,414.9,418.15,405.6,428.05,406.5,406.7,410.03,536.7,268.45,17442641,7151991642.45
6/14/2022,403,411.85,397.7,406.7,404.7,405.15,405.51,536.7,268.45,19626627,7958744753.50
6/15/2022,410,416.4,407.45,405.15,412.95,414.1,413.22,536.7,268.45,15192826,6277930420.15
6/16/2022,420,420.9,390.1,414.1,393,392.95,403.07,536.7,268.45,22261032,8972824034.40
6/17/2022,387.95,394.45,382.65,392.95,390.55,388.95,388.61,536.7,268.45,24824899,9647163326.40
6/20/2022,390.55,392.95,376.65,388.95,384.75,382.7,382.7,536.7,268.45,17049013,6524742312.80
6/21/2022,389,399,387,382.7,398.1,397.6,394.92,536.7,268.45,14743366,5822390674.85
6/22/2022,396.4,397,390.5,397.6,392.8,393.1,393.64,536.7,268.45,12426604,4891632161.45
6/23/2022,396.3,409.9,394.55,393.1,407.15,407.2,403.6,536.7,268.45,26514004,10701049288.70
6/24/2022,410,412.85,406.15,407.2,408.75,409.3,409.69,536.7,268.45,14806456,6066054580.25
6/27/2022,417.55,419.45,412.35,409.3,413,414.5,415.85,536.7,268.45,12018949,4998036071.55
6/28/2022,411.3,418.2,409.15,414.5,417.7,417.1,415,536.7,268.45,13238339,5493950694.35
6/29/2022,412.05,419.9,411.55,417.1,416,416.95,417.25,536.7,268.45,13104313,5467812648.20
6/30/2022,418.3,424,410,416.95,411,411.8,416.96,536.7,268.45,20121916,8389957278.55
7/1/2022,410.65,414.6,402.3,411.8,413.7,412.7,407.31,536.7,268.45,14725989,5998037365.50
7/4/2022,411.55,414.9,405,412.7,407.6,408.45,408.48,536.7,268.45,11525133,4707772092.40
7/5/2022,415,418.8,410.2,408.45,412.35,412,415.27,536.7,268.45,16771012,6964415187.65
7/6/2022,414,417.3,410.65,412,417.1,416.35,414.33,536.7,268.45,12196920,5053571432.90
7/7/2022,419.9,432.95,419.3,416.35,431.75,430.85,425.08,536.7,268.45,17616800,7488533814.20
7/8/2022,436.25,443.85,429.3,430.85,440.5,441.55,437.5,536.7,268.45,23730027,10381822008.35
7/11/2022,438.05,441.2,433.45,441.55,435.8,437.05,437.22,536.7,268.45,12621150,5518219647.65
7/12/2022,433,435,428.15,437.05,428.35,430.55,432.15,536.7,268.45,9518822,4113572430.90
7/13/2022,432.7,435.85,425.65,430.55,427.9,427.1,429.9,536.7,268.45,10181698,4377089483.35
7/14/2022,428,431.25,423.3,427.1,428,428.05,427.46,536.7,268.45,10744547,4592850403.05
7/15/2022,430.65,441.75,429.7,428.05,438.8,440.2,435.74,536.7,268.45,15774084,6873408749.85
7/18/2022,443.95,453.8,443.2,440.2,450.5,450.9,449.21,536.7,268.45,21185764,9516800250.10
7/19/2022,446.75,451.85,444.45,450.9,448.65,449.05,448.47,536.7,268.45,11553440,5181360424.70
7/20/2022,454.35,460.75,451.75,449.05,452.75,453.45,456.93,536.7,268.45,17154184,7838259628.55
7/21/2022,452.95,455.5,450.1,453.45,454,454.85,453.61,536.7,268.45,10931800,4958795042.00
7/22/2022,456.6,459.95,452.3,454.85,454.25,454.9,455.86,536.7,268.45,10340910,4714001688.60
7/25/2022,456,457.6,446.3,454.9,449.35,449.55,451.38,536.7,268.45,12505062,5644509435.40
7/26/2022,448.7,448.7,439.75,449.55,440.7,441.15,442.95,536.7,268.45,11563528,5122115641.75
7/27/2022,441.15,445,436.1,441.15,443.75,444.05,442.15,536.7,268.45,10081023,4457325201.15
7/28/2022,440.25,449.25,427.4,444.05,442.55,442.25,439.27,536.7,268.45,36380444,15980776527.90
7/29/2022,445.15,452.7,445.15,442.25,449.25,449.6,449.23,536.7,268.45,16004096,7189530425.20
8/1/2022,451.95,481,451.05,449.6,480.05,479.2,469.99,536.7,268.45,43084536,20249120487.80
8/2/2022,478.9,479.9,469.25,479.2,474.95,476.25,475.15,536.7,268.45,19065689,9059144445.55
8/3/2022,475,476.25,459.6,476.25,467.05,467.8,466.29,536.7,268.45,19125906,8918153301.30
8/4/2022,473.15,473.95,456.45,467.8,466.7,468.9,465.82,536.7,268.45,18540405,8636444624.95
8/5/2022,468.9,472.9,464,468.9,464.7,465.25,468.48,536.7,268.45,11917799,5583229115.80
8/8/2022,466,471.9,464.45,465.25,468,468.25,468.27,536.7,268.45,10561754,4945716455.45
8/10/2022,470,477.2,463.35,468.25,475.9,475.55,470.12,536.7,268.45,13360759,6281198084.50
